brand,model,eur_size,type,segment,geo
AUDI,100,E,Car,Prem,EUR
AUDI,200,E,Car,Prem,EUR
AUDI,80,D,Car,Prem,EUR
AUDI,90,D,Car,Prem,EUR
AUDI,920,D,Car,Prem,EUR
AUDI,A1,B,Car,Prem,EUR
AUDI,A2,B,Car,Prem,EUR
AUDI,A3,C,Car,Prem,EUR
AUDI,A4,D,Car,Prem,EUR
AUDI,A4_ALLROAD,D,Car,Prem,EUR
AUDI,A5,D,Car,Prem,EUR
AUDI,A6,E,Car,Prem,EUR
AUDI,A7,E,Car,Prem,EUR
AUDI,A8,F,Car,Prem,EUR
AUDI,ALLROAD,E,Car,Prem,EUR
AUDI,CABRIOLET,S,Coupe,Prem,EUR
AUDI,COUPE,S,Coupe,Prem,EUR
AUDI,E_TRON,C,SUV,Prem,EUR
AUDI,E_TRON_SPORTBACK,C,SUV,Prem,EUR
AUDI,E_TRON_S_SPORTBACK,C,SUV,Prem,EUR
AUDI,Q2,B,SUV,Prem,EUR
AUDI,Q3,B,SUV,Prem,EUR
AUDI,Q3_SPORTBACK,B,SUV,Prem,EUR
AUDI,Q5,C,SUV,Prem,EUR
AUDI,Q5_SPORTBACK,C,SUV,Prem,EUR
AUDI,Q7,D,SUV,Prem,EUR
AUDI,Q8,D,SUV,Prem,EUR
AUDI,R8,S,Coupe,Prem,EUR
AUDI,RS3,S,Coupe,Prem,EUR
AUDI,RS4,D,Car,Prem,EUR
AUDI,RS5,S,Coupe,Prem,EUR
AUDI,RS6,E,Car,Prem,EUR
AUDI,RS7,E,Car,Prem,EUR
AUDI,RSQ3,B,SUV,Prem,EUR
AUDI,RS_E_TRON_GT,C,SUV,Prem,EUR
AUDI,RS_Q8,D,SUV,Prem,EUR
AUDI,S3,C,Car,Prem,EUR
AUDI,S4,D,Car,Prem,EUR
AUDI,S5,D,Car,Prem,EUR
AUDI,S6,E,Car,Prem,EUR
AUDI,S7,E,Car,Prem,EUR
AUDI,S8,F,Car,Prem,EUR
AUDI,SQ5,C,SUV,Prem,EUR
AUDI,SQ7,D,SUV,Prem,EUR
AUDI,SQ8,D,SUV,Prem,EUR
AUDI,TT,S,Coupe,Prem,EUR
AUDI,TT_RS,S,Coupe,Prem,EUR
AUDI,TTS,S,Coupe,Prem,EUR
AUDI,V8,F,Car,Prem,EUR
BMW,02,D,Car,Prem,EUR
BMW,321,D,Car,Prem,EUR
BMW,326,D,Car,Prem,EUR
BMW,340,D,Car,Prem,EUR
BMW,1ER,C,Car,Prem,EUR
BMW,2ACTIVETOURER,C,Car,Prem,EUR
BMW,2ER,C,Car,Prem,EUR
BMW,2GRANDTOURER,C,Car,Prem,EUR
BMW,3ER,D,Car,Prem,EUR
BMW,4,D,Car,Prem,EUR
BMW,502,E,Car,Prem,EUR
BMW,5ER,E,Car,Prem,EUR
BMW,6ER,S,Coupe,Prem,EUR
BMW,7ER,F,Car,Prem,EUR
BMW,8ER,S,Coupe,Prem,EUR
BMW,E3,F,Car,Prem,EUR
BMW,I3,B,Car,Prem,EUR
BMW,I8,S,Coupe,Prem,EUR
BMW,M1,S,Coupe,Prem,EUR
BMW,M2,S,Coupe,Prem,EUR
BMW,M3,S,Coupe,Prem,EUR
BMW,M4,S,Coupe,Prem,EUR
BMW,M5,S,Coupe,Prem,EUR
BMW,M6,S,Coupe,Prem,EUR
